Vehicle ID; Next Stop ID; Updated At; Scheduled Arrival; Predicted Arrival
39425384;17861;2019-01-09T10:49:01-05:00;2019-01-09T10:51:00-05:00;2019-01-09T10:49:48-05:00
39425383;2762;2019-01-09T10:49:31-05:00;2019-01-09T10:50:00-05:00;2019-01-09T10:50:23-05:00
39425393;17863;2019-01-09T10:49:23-05:00;2019-01-09T11:00:00-05:00;null
39425386;21773;2019-01-09T10:49:57-05:00;2019-01-09T10:47:00-05:00;2019-01-09T10:51:47-05:00
39425393;17863;2019-01-09T10:50:58-05:00;2019-01-09T11:00:00-05:00;null
39425386;21773;2019-01-09T10:51:06-05:00;2019-01-09T10:47:00-05:00;2019-01-09T10:51:36-05:00
39425383;2612;2019-01-09T10:51:31-05:00;2019-01-09T10:51:00-05:00;2019-01-09T10:51:59-05:00
39425393;17863;2019-01-09T10:51:53-05:00;2019-01-09T11:00:00-05:00;null
39425386;21773;2019-01-09T10:52:05-05:00;2019-01-09T10:47:00-05:00;2019-01-09T10:52:05-05:00
39425383;2612;2019-01-09T10:52:31-05:00;2019-01-09T10:51:00-05:00;null
39425393;17863;2019-01-09T10:52:51-05:00;2019-01-09T11:00:00-05:00;null
39425386;12231;2019-01-09T10:53:07-05:00;2019-01-09T10:52:00-05:00;2019-01-09T10:53:57-05:00
39425386;12231;2019-01-09T10:54:06-05:00;2019-01-09T10:52:00-05:00;null
39425383;2514;2019-01-09T10:54:14-05:00;2019-01-09T10:55:00-05:00;2019-01-09T10:56:22-05:00
39425393;17863;2019-01-09T10:55:05-05:00;2019-01-09T11:00:00-05:00;null
39425386;2521;2019-01-09T10:55:04-05:00;2019-01-09T10:54:00-05:00;2019-01-09T10:58:09-05:00
39425383;2514;2019-01-09T10:55:14-05:00;2019-01-09T10:55:00-05:00;2019-01-09T10:56:25-05:00
39425393;17863;2019-01-09T10:55:35-05:00;2019-01-09T11:00:00-05:00;null
39425386;2521;2019-01-09T10:56:01-05:00;2019-01-09T10:54:00-05:00;2019-01-09T10:56:35-05:00
39425383;2514;2019-01-09T10:56:14-05:00;2019-01-09T10:55:00-05:00;2019-01-09T10:57:25-05:00
39425393;17863;2019-01-09T10:57:11-05:00;2019-01-09T11:00:00-05:00;null
39425386;2521;2019-01-09T10:57:06-05:00;2019-01-09T10:54:00-05:00;2019-01-09T10:57:07-05:00
39425383;2514;2019-01-09T10:57:14-05:00;2019-01-09T10:55:00-05:00;null
39425393;17863;2019-01-09T10:58:12-05:00;2019-01-09T11:00:00-05:00;null
39425386;2525;2019-01-09T10:58:09-05:00;2019-01-09T10:58:00-05:00;2019-01-09T10:59:31-05:00
39425383;2518;2019-01-09T10:58:14-05:00;2019-01-09T10:59:00-05:00;2019-01-09T11:00:01-05:00
39425393;17863;2019-01-09T10:59:08-05:00;2019-01-09T11:00:00-05:00;null
39425386;2525;2019-01-09T10:59:04-05:00;2019-01-09T10:58:00-05:00;2019-01-09T10:59:26-05:00
39425393;17863;2019-01-09T11:00:11-05:00;2019-01-09T11:00:00-05:00;null
39425383;2518;2019-01-09T10:59:14-05:00;2019-01-09T10:59:00-05:00;2019-01-09T11:00:12-05:00
